,pdf 0,pdf 1,pdf 2,pdf 3
a,8,3,9,24
and,18,18,7,39
for,6,5,2,18
in,12,10,6,48
may,1,1,1,6
of,10,2,10,18
on,2,5,1,3
project,2,1,3,18
science,4,3,4,12
the,4,1,4,21
to,11,5,9,39
with,4,1,7,9
